,AD1_AD2,AD3_AD4,AD5_AD6,Ct1_Ct2,Ct3_Ct4,Ct5_Ct6
TCEB3-AS1,0.03125,0.07659574468085106,0.03546099290780142,0.06626506024096386,0.07971864009378664,0.03823529411764706
PITHD1,0.09375,0.01276595744680851,0.02127659574468085,0.024096385542168676,0.031652989449003514,0.029411764705882353
LYPLA2,0.010416666666666666,0.02553191489361702,0.0070921985815602835,0.024096385542168676,0.03634232121922626,0.03235294117647059
GALE,0.020833333333333332,0.0,0.028368794326241134,0.012048192771084338,0.03048065650644783,0.016176470588235296
HMGCL,0.03125,0.0425531914893617,0.0,0.018072289156626505,0.044548651817116064,0.052941176470588235
SRSF10,0.10416666666666667,0.14893617021276595,0.05673758865248227,0.12650602409638553,0.1254396248534584,0.10735294117647058
STPG1,0.020833333333333332,0.01276595744680851,0.02127659574468085,0.018072289156626505,0.016412661195779603,0.022058823529411766
NIPAL3,0.09375,0.0425531914893617,0.03546099290780142,0.018072289156626505,0.04220398593200469,0.023529411764705882
RCAN3,0.010416666666666666,0.00851063829787234,0.0070921985815602835,0.0,0.0035169988276670576,0.008823529411764706
SRRM1,0.125,0.3148936170212766,0.07801418439716312,0.14457831325301204,0.17116060961313012,0.1323529411764706
CLIC4,0.20833333333333334,0.14893617021276595,0.14184397163120568,0.09036144578313253,0.09495896834701055,0.061764705882352944
SYF2,0.07291666666666667,0.03404255319148936,0.0425531914893617,0.018072289156626505,0.05041031652989449,0.03823529411764706
RSRP1,0.21875,0.34893617021276596,0.10638297872340426,0.3192771084337349,0.5427901524032825,0.4632352941176471
TMEM50A,0.09375,0.03829787234042553,0.02127659574468085,0.0783132530120482,0.07033997655334115,0.054411764705882354
TMEM57,0.03125,0.03404255319148936,0.06382978723404255,0.060240963855421686,0.0492379835873388,0.060294117647058824
LDLRAP1,0.14583333333333334,0.00851063829787234,0.028368794326241134,0.006024096385542169,0.026963657678780773,0.014705882352941176
MAN1C1,0.052083333333333336,0.19574468085106383,0.09219858156028368,0.04216867469879518,0.06447831184056271,0.041176470588235294
MTFR1L,0.11458333333333333,0.059574468085106386,0.028368794326241134,0.03614457831325301,0.06096131301289566,0.075
STMN1,0.3020833333333333,0.08085106382978724,0.04964539007092199,0.16265060240963855,0.1735052754982415,0.10147058823529412
PDIK1L,0.03125,0.01276595744680851,0.0070921985815602835,0.012048192771084338,0.02813599062133646,0.008823529411764706
SH3BGRL3,0.125,0.03404255319148936,0.07801418439716312,0.04819277108433735,0.06565064478311841,0.03823529411764706
DHDDS,0.010416666666666666,0.029787234042553193,0.014184397163120567,0.012048192771084338,0.026963657678780773,0.022058823529411766
HMGN2,0.17708333333333334,0.0425531914893617,0.0425531914893617,0.13253012048192772,0.21688159437280188,0.175
RPS6KA1,0.08333333333333333,0.00425531914893617,0.0070921985815602835,0.006024096385542169,0.005861664712778429,0.004411764705882353
ARID1A,0.19791666666666666,0.3404255319148936,0.19858156028368795,0.12048192771084337,0.28604923798358733,0.20147058823529412
ZDHHC18,0.041666666666666664,0.029787234042553193,0.07801418439716312,0.018072289156626505,0.022274325908558032,0.022058823529411766
NUDC,0.125,0.09361702127659574,0.10638297872340426,0.05421686746987952,0.07502930832356389,0.047058823529411764
WDTC1,0.08333333333333333,0.06808510638297872,0.06382978723404255,0.030120481927710843,0.05041031652989449,0.05588235294117647
TMEM222,0.11458333333333333,0.06808510638297872,0.028368794326241134,0.060240963855421686,0.06799531066822978,0.03529411764705882
AHDC1,0.10416666666666667,0.225531914893617,0.15602836879432624,0.03614457831325301,0.08558030480656506,0.11911764705882352
IFI6,0.010416666666666666,0.03404255319148936,0.0070921985815602835,0.024096385542168676,0.011723329425556858,0.007352941176470588
FAM76A,0.020833333333333332,0.04680851063829787,0.014184397163120567,0.018072289156626505,0.01875732708089097,0.027941176470588237
STX12,0.052083333333333336,0.05531914893617021,0.0425531914893617,0.030120481927710843,0.09026963657678781,0.05
RPA2,0.020833333333333332,0.03404255319148936,0.014184397163120567,0.024096385542168676,0.03399765533411489,0.026470588235294117
EYA3,0.041666666666666664,0.08085106382978724,0.04964539007092199,0.06626506024096386,0.12192262602579132,0.08088235294117647
DNAJC8,0.052083333333333336,0.05106382978723404,0.07092198581560284,0.04819277108433735,0.06916764361078546,0.03676470588235294
ATPIF1,0.11458333333333333,0.05106382978723404,0.07092198581560284,0.07228915662650602,0.16295427901524032,0.08529411764705883
PHACTR4,0.125,0.2,0.10638297872340426,0.13855421686746988,0.19226260257913247,0.12941176470588237
RCC1,0.09375,0.0425531914893617,0.028368794326241134,0.08433734939759036,0.038686987104337635,0.03529411764705882
TRNAU1AP,0.10416666666666667,0.09361702127659574,0.09219858156028368,0.018072289156626505,0.04572098475967175,0.04264705882352941
TAF12,0.09375,0.02553191489361702,0.02127659574468085,0.024096385542168676,0.03985932004689332,0.03529411764705882
GMEB1,0.020833333333333332,0.04680851063829787,0.028368794326241134,0.03614457831325301,0.017584994138335287,0.010294117647058823
YTHDF2,0.020833333333333332,0.06382978723404255,0.04964539007092199,0.04819277108433735,0.05744431418522861,0.058823529411764705
OPRD1,0.03125,0.02127659574468085,0.0070921985815602835,0.0,0.004689331770222743,0.004411764705882353
EPB41,0.03125,0.06382978723404255,0.0425531914893617,0.030120481927710843,0.04806565064478312,0.03235294117647059
